"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2025 DM7)","2025-Mar-04 04:23 ± < 00:01","0.00316","0.00315","7.07","6.95","27.1","10 m -   23 m","0"
"(2025 DT4)","2025-Mar-04 08:16 ± < 00:01","0.01633","0.01628","18.01","18.00","25.0","27 m -   59 m","0"
"(2025 DG3)","2025-Mar-04 14:41 ± < 00:01","0.04204","0.04177","8.02","8.02","25.2","24 m -   55 m","0"
"(2025 DT24)","2025-Mar-04 15:55 ± < 00:01","0.01073","0.01068","8.83","8.80","27.5","8.4 m -   19 m","0"
"535844 (2015 BY310)","2025-Mar-05 10:58 ± < 00:01","0.02455","0.02455","7.86","7.85","21.9","110 m -  250 m","1"
"(2025 DU2)","2025-Mar-06 01:29 ± < 00:01","0.00362","0.00362","17.40","17.36","24.3","37 m -   84 m","2"
"(2025 DT3)","2025-Mar-06 03:21 ± < 00:01","0.04524","0.04475","11.84","11.83","24.8","29 m -   66 m","0"
"(2025 DS3)","2025-Mar-06 07:29 ± < 00:01","0.04379","0.04339","16.82","16.82","25.2","24 m -   54 m","0"
"(2025 DJ5)","2025-Mar-06 11:13 ± < 00:01","0.04946","0.04892","8.51","8.50","25.1","25 m -   56 m","0"
"(2025 EW)","2025-Mar-06 22:42 ±    00:07","0.00237","0.00237","3.39","3.04","27.2","9.6 m -   22 m","0"
"(2025 DL8)","2025-Mar-07 02:06 ± < 00:01","0.03376","0.03367","6.66","6.65","25.2","24 m -   53 m","0"
"(2017 EV)","2025-Mar-07 18:34 ± < 00:01","0.00781","0.00781","8.16","8.12","26.8","12 m -   26 m","0"
"(2025 DD22)","2025-Mar-07 21:48 ± < 00:01","0.02014","0.02005","7.77","7.75","25.4","23 m -   51 m","0"
"(2025 DV24)","2025-Mar-08 01:43 ±    00:06","0.02409","0.02394","2.45","2.40","28.3","5.9 m -   13 m","0"
"(2025 DZ1)","2025-Mar-08 02:00 ± < 00:01","0.01008","0.01006","16.88","16.86","24.9","28 m -   63 m","1"
"(2025 DK7)","2025-Mar-08 03:23 ±    00:01","0.02462","0.02411","6.98","6.97","27.4","8.8 m -   20 m","0"
"(2025 DF8)","2025-Mar-08 07:36 ±    00:01","0.00858","0.00855","5.59","5.54","27.6","8.0 m -   18 m","0"
"(2018 RC2)","2025-Mar-08 11:45 ± < 00:01","0.00506","0.00506","12.49","12.44","23.1","64 m -  140 m","2"
"(2025 ED)","2025-Mar-08 16:23 ±    00:07","0.02757","0.02737","9.66","9.65","26.4","14 m -   31 m","0"
"(2025 DZ6)","2025-Mar-09 23:18 ±    00:11","0.03342","0.03317","9.89","9.88","25.0","26 m -   59 m","0"
"(2025 DB5)","2025-Mar-10 07:52 ±    00:07","0.01518","0.01509","2.04","1.95","27.8","7.3 m -   16 m","0"
"(2021 EU3)","2025-Mar-10 15:10 ± 4_11:57","0.02733","0.02130","4.36","4.34","27.2","9.7 m -   22 m","0"
"(2025 DB7)","2025-Mar-11 16:30 ±    00:06","0.02470","0.02454","2.58","2.54","27.2","9.6 m -   21 m","0"
"(2025 DA7)","2025-Mar-12 00:11 ±    00:15","0.04517","0.04383","9.67","9.67","24.4","36 m -   80 m","0"
"(2025 DY5)","2025-Mar-12 14:10 ±    00:25","0.02494","0.02467","8.46","8.45","25.6","21 m -   46 m","0"
